model - 1577688250,1577688250.245,0.49,0.25,0.55,0.2493
model - 1577688250,1577688250.271,0.65,0.2491,0.53,0.2499
model - 1577688250,1577688250.296,0.34,0.2764,0.59,0.2488
model - 1577688250,1577688250.323,0.61,0.2494,0.46,0.2548
model - 1577688250,1577688250.352,0.49,0.2513,0.54,0.2453
model - 1577688250,1577688250.377,0.5,0.253,0.54,0.2464
model - 1577688250,1577688250.403,0.58,0.2456,0.43,0.2527
model - 1577688250,1577688250.429,0.48,0.2502,0.63,0.2434
model - 1577688250,1577688250.456,0.41,0.2539,0.46,0.2502
model - 1577688250,1577688250.483,0.43,0.2503,0.51,0.2496
model - 1577688250,1577688250.507,0.59,0.2497,0.44,0.2501
model - 1577688250,1577688250.532,0.42,0.2505,0.56,0.2494
model - 1577688250,1577688250.559,0.61,0.2488,0.47,0.2499
model - 1577688250,1577688250.585,0.52,0.2497,0.48,0.2499
model - 1577688250,1577688250.609,0.65,0.2487,0.62,0.2488
model - 1577688250,1577688250.633,0.5,0.2497,0.51,0.2497
model - 1577688250,1577688250.661,0.68,0.2485,0.58,0.2492
model - 1577688250,1577688250.687,0.52,0.2495,0.58,0.2473
model - 1577688250,1577688250.711,0.5,0.2492,0.44,0.2511
model - 1577688250,1577688250.735,0.44,0.2499,0.58,0.2479
model - 1577688250,1577688250.762,0.54,0.2485,0.62,0.2471
model - 1577688250,1577688250.786,0.56,0.2485,0.61,0.2463
model - 1577688250,1577688250.81,0.51,0.2488,0.53,0.2494
model - 1577688250,1577688250.839,0.67,0.2451,0.58,0.2467
model - 1577688250,1577688250.868,0.53,0.2486,0.63,0.2408
model - 1577688250,1577688250.893,0.54,0.2474,0.57,0.2433
model - 1577688250,1577688250.917,0.56,0.2432,0.54,0.2504
model - 1577688250,1577688250.942,0.53,0.2501,0.55,0.2488
model - 1577688250,1577688250.976,0.62,0.241,0.5,0.2491
model - 1577688250,1577688251.001,0.56,0.2482,0.5,0.2492
model - 1577688250,1577688251.025,0.49,0.2453,0.61,0.2435
model - 1577688250,1577688251.049,0.51,0.2466,0.57,0.242
model - 1577688250,1577688251.077,0.63,0.2408,0.61,0.2379
model - 1577688250,1577688251.101,0.66,0.2342,0.64,0.2293
model - 1577688250,1577688251.125,0.56,0.2525,0.57,0.25
model - 1577688250,1577688251.15,0.56,0.2407,0.56,0.247
model - 1577688250,1577688251.18,0.63,0.2391,0.57,0.2422
model - 1577688250,1577688251.205,0.63,0.2343,0.54,0.2465
model - 1577688250,1577688251.229,0.6,0.2362,0.5,0.2524
model - 1577688250,1577688251.253,0.62,0.2322,0.54,0.2417
model - 1577688250,1577688251.284,0.61,0.2391,0.56,0.239
model - 1577688250,1577688251.309,0.58,0.2401,0.51,0.2581
model - 1577688250,1577688251.333,0.49,0.2593,0.6,0.2376
model - 1577688250,1577688251.358,0.59,0.2403,0.61,0.2369
model - 1577688250,1577688251.386,0.6,0.2414,0.57,0.2288
model - 1577688250,1577688251.41,0.62,0.2386,0.51,0.2482
model - 1577688250,1577688251.434,0.61,0.2377,0.62,0.2313
model - 1577688250,1577688251.458,0.56,0.2483,0.55,0.2384
model - 1577688250,1577688251.487,0.64,0.2281,0.55,0.2344
model - 1577688250,1577688251.512,0.5,0.2469,0.6,0.2372
model - 1577688250,1577688251.537,0.64,0.2298,0.66,0.2274
model - 1577688250,1577688251.562,0.66,0.2368,0.66,0.2274
model - 1577688250,1577688251.59,0.52,0.2545,0.65,0.2323
model - 1577688250,1577688251.614,0.53,0.2472,0.7,0.2203
model - 1577688250,1577688251.638,0.54,0.2492,0.68,0.2281
model - 1577688250,1577688251.663,0.68,0.2217,0.55,0.2366
model - 1577688250,1577688251.69,0.65,0.2273,0.55,0.2465
model - 1577688250,1577688251.714,0.65,0.2351,0.56,0.2359
model - 1577688250,1577688251.738,0.68,0.217,0.54,0.2394
model - 1577688250,1577688251.763,0.62,0.226,0.68,0.2152
model - 1577688250,1577688251.788,0.53,0.2513,0.53,0.2473
model - 1577688250,1577688251.813,0.69,0.2189,0.56,0.2293
model - 1577688250,1577688251.837,0.52,0.2507,0.6,0.2267
model - 1577688250,1577688251.862,0.52,0.2666,0.54,0.2518
model - 1577688250,1577688251.89,0.6,0.2222,0.66,0.2071
model - 1577688250,1577688251.916,0.57,0.2487,0.57,0.237
model - 1577688250,1577688251.94,0.64,0.2251,0.63,0.2135
model - 1577688250,1577688251.967,0.62,0.2339,0.66,0.2346
model - 1577688250,1577688251.998,0.62,0.2399,0.56,0.2314
model - 1577688250,1577688252.024,0.54,0.2483,0.58,0.2241
model - 1577688250,1577688252.048,0.66,0.2256,0.58,0.2387
model - 1577688250,1577688252.075,0.56,0.24,0.58,0.2314
model - 1577688250,1577688252.099,0.57,0.2485,0.6,0.2342
model - 1577688250,1577688252.125,0.61,0.2428,0.62,0.2358
model - 1577688250,1577688252.15,0.6,0.2427,0.64,0.2359
model - 1577688250,1577688252.175,0.56,0.2383,0.59,0.2429
model - 1577688250,1577688252.202,0.57,0.2308,0.57,0.2319
model - 1577688250,1577688252.228,0.59,0.2408,0.62,0.2307
model - 1577688250,1577688252.253,0.65,0.2333,0.51,0.2368
model - 1577688250,1577688252.278,0.6,0.2331,0.57,0.231
model - 1577688250,1577688252.307,0.58,0.243,0.64,0.2317
model - 1577688250,1577688252.334,0.66,0.2258,0.59,0.2315
model - 1577688250,1577688252.358,0.58,0.2424,0.69,0.2221
model - 1577688250,1577688252.382,0.55,0.2534,0.68,0.215
model - 1577688250,1577688252.406,0.6,0.2251,0.51,0.2595
model - 1577688250,1577688252.43,0.68,0.2011,0.6,0.2286
model - 1577688250,1577688252.459,0.58,0.239,0.69,0.2172
model - 1577688250,1577688252.483,0.57,0.2427,0.63,0.2285
